
mode: atomic
github.com/tetafro/godot/checks.go:35.88,37.29 2 10
github.com/tetafro/godot/checks.go:213.3,213.15 1 8158
github.com/tetafro/godot/checks.go:219.3,219.51 1 7136
github.com/tetafro/godot/checks.go:222.3,222.16 1 7136
github.com/tetafro/godot/checks.go:198.16,201.24 3 112
github.com/tetafro/godot/checks.go:204.4,204.12 1 112
github.com/tetafro/godot/checks.go:201.24,203.5 1 14
github.com/tetafro/godot/checks.go:206.39,208.12 2 98
github.com/tetafro/godot/checks.go:210.35,211.12 1 9
github.com/tetafro/godot/checks.go:213.15,214.24 1 1022
github.com/tetafro/godot/checks.go:217.4,217.12 1 1022
github.com/tetafro/godot/checks.go:214.24,216.5 1 31
github.com/tetafro/godot/checks.go:219.51,221.4 1 31
github.com/tetafro/godot/checks.go:229.42,233.41 1 75
github.com/tetafro/godot/checks.go:236.2,236.14 1 55
github.com/tetafro/godot/checks.go:233.41,235.3 1 20
github.com/tetafro/godot/checks.go:241.41,243.45 1 650
github.com/tetafro/godot/checks.go:247.2,254.36 3 631
github.com/tetafro/godot/checks.go:259.2,263.40 2 551
github.com/tetafro/godot/checks.go:267.2,267.14 1 506
github.com/tetafro/godot/checks.go:243.45,245.3 1 19
github.com/tetafro/godot/checks.go:254.36,256.3 1 80
github.com/tetafro/godot/checks.go:263.40,265.3 1 45
github.com/tetafro/godot/checks.go:270.50,271.34 1 189
github.com/tetafro/godot/checks.go:276.2,276.14 1 100
github.com/tetafro/godot/checks.go:271.34,272.35 1 926
github.com/tetafro/godot/checks.go:272.35,274.4 1 89
github.com/tetafro/godot/getters.go:13.87,14.29 1 12
github.com/tetafro/godot/getters.go:19.2,20.54 2 12
github.com/tetafro/godot/getters.go:23.2,27.64 3 12
github.com/tetafro/godot/getters.go:31.2,33.15 3 12
github.com/tetafro/godot/getters.go:51.2,53.22 2 12
github.com/tetafro/godot/getters.go:14.29,16.3 1 0
github.com/tetafro/godot/getters.go:20.54,22.3 1 0
github.com/tetafro/godot/getters.go:27.64,29.3 1 0
github.com/tetafro/godot/getters.go:34.16,36.47 1 4
github.com/tetafro/godot/getters.go:37.21,43.4 1 4
github.com/tetafro/godot/getters.go:44.10,47.66 1 4
github.com/tetafro/godot/getters.go:58.86,60.34 2 8
github.com/tetafro/godot/getters.go:89.2,89.17 1 8
github.com/tetafro/godot/getters.go:60.34,62.10 2 88
github.com/tetafro/godot/getters.go:66.3,66.20 1 38
github.com/tetafro/godot/getters.go:69.3,69.35 1 16
github.com/tetafro/godot/getters.go:62.10,63.12 1 50
github.com/tetafro/godot/getters.go:66.20,67.12 1 22
github.com/tetafro/godot/getters.go:69.35,71.48 1 468
github.com/tetafro/godot/getters.go:78.4,78.42 1 16
github.com/tetafro/godot/getters.go:81.4,86.6 3 16
github.com/tetafro/godot/getters.go:71.48,72.13 1 452
github.com/tetafro/godot/getters.go:78.42,79.13 1 0
github.com/tetafro/godot/getters.go:93.89,95.34 2 4
github.com/tetafro/godot/getters.go:106.2,106.17 1 4
github.com/tetafro/godot/getters.go:95.34,96.41 1 117
github.com/tetafro/godot/getters.go:99.3,104.5 3 73
github.com/tetafro/godot/getters.go:96.41,97.12 1 44
github.com/tetafro/godot/getters.go:110.92,112.34 2 12
github.com/tetafro/godot/getters.go:132.2,132.17 1 12
github.com/tetafro/godot/getters.go:112.34,114.27 2 132
github.com/tetafro/godot/getters.go:121.3,121.16 1 132
github.com/tetafro/godot/getters.go:125.3,130.5 3 114
github.com/tetafro/godot/getters.go:115.21,116.14 1 57
github.com/tetafro/godot/getters.go:117.22,118.14 1 75
github.com/tetafro/godot/getters.go:121.16,122.12 1 18
github.com/tetafro/godot/getters.go:136.84,138.34 2 4
github.com/tetafro/godot/getters.go:146.2,146.17 1 4
github.com/tetafro/godot/getters.go:138.34,145.3 3 117
github.com/tetafro/godot/getters.go:153.52,156.40 1 424
github.com/tetafro/godot/getters.go:160.2,160.33 1 405
github.com/tetafro/godot/getters.go:179.2,179.17 1 405
github.com/tetafro/godot/getters.go:182.2,182.21 1 404
github.com/tetafro/godot/getters.go:156.40,158.3 1 19
github.com/tetafro/godot/getters.go:160.33,163.38 3 557
github.com/tetafro/godot/getters.go:168.3,168.50 1 557
github.com/tetafro/godot/getters.go:163.38,167.4 3 51
github.com/tetafro/godot/getters.go:168.50,169.27 1 635
github.com/tetafro/godot/getters.go:173.4,173.16 1 503
github.com/tetafro/godot/getters.go:176.4,176.20 1 503
github.com/tetafro/godot/getters.go:169.27,171.13 2 132
github.com/tetafro/godot/getters.go:173.16,175.5 1 376
github.com/tetafro/godot/getters.go:179.17,181.3 1 1
github.com/tetafro/godot/getters.go:186.40,187.25 1 12
github.com/tetafro/godot/getters.go:187.25,188.30 1 114
github.com/tetafro/godot/getters.go:188.30,189.34 1 1565
github.com/tetafro/godot/getters.go:189.34,191.10 2 114
github.com/tetafro/godot/godot.go:43.83,45.16 2 9
github.com/tetafro/godot/godot.go:49.2,52.20 3 9
github.com/tetafro/godot/godot.go:45.16,47.3 1 0
github.com/tetafro/godot/godot.go:56.95,59.16 2 8
github.com/tetafro/godot/godot.go:62.2,62.23 1 7
github.com/tetafro/godot/godot.go:66.2,67.16 2 6
github.com/tetafro/godot/godot.go:72.2,73.29 2 6
github.com/tetafro/godot/godot.go:78.2,79.60 2 6
github.com/tetafro/godot/godot.go:86.2,88.19 2 6
github.com/tetafro/godot/godot.go:59.16,61.3 1 1
github.com/tetafro/godot/godot.go:62.23,64.3 1 1
github.com/tetafro/godot/godot.go:67.16,69.3 1 0
github.com/tetafro/godot/godot.go:73.29,75.3 1 76
github.com/tetafro/godot/godot.go:79.60,81.28 2 774
github.com/tetafro/godot/godot.go:84.3,84.49 1 774
github.com/tetafro/godot/godot.go:81.28,83.4 1 76
github.com/tetafro/godot/godot.go:92.89,94.16 2 4
github.com/tetafro/godot/godot.go:97.2,100.16 3 3
github.com/tetafro/godot/godot.go:104.2,104.60 1 3
github.com/tetafro/godot/godot.go:107.2,107.12 1 3
github.com/tetafro/godot/godot.go:94.16,96.3 1 1
github.com/tetafro/godot/godot.go:100.16,102.3 1 0
github.com/tetafro/godot/godot.go:104.60,106.3 1 0
github.com/tetafro/godot/godot.go:111.30,112.38 1 9
github.com/tetafro/godot/godot.go:112.38,113.49 1 225
github.com/tetafro/godot/godot.go:116.3,116.41 1 225
github.com/tetafro/godot/godot.go:119.3,119.47 1 0
github.com/tetafro/godot/godot.go:113.49,115.4 1 0
github.com/tetafro/godot/godot.go:116.41,118.4 1 225
mode: atomic
